STOCK_CODE,YEAR,EP,BP,SP,CP,RETURN
THT,2017,519,654,849,,1.081967213
TIE,2017,265,757,308,568,1.081818182
TIG,2017,664,777,185,,1.052631579
TIP,2017,624,373,131,364,1.012158055
TIS,2017,250,360,539,369,1.188679245
TIX,2017,290,260,92,435,0.909090909
TJC,2017,621,628,489,515,0.579545455
TKC,2017,320,252,653,105,1.497237569
TKU,2017,751,480,442,191,0.94488189
TL4,2017,680,724,542,546,0.906666667
TLG,2017,185,18,157,125,0.92142189
TLH,2017,777,436,590,,0.802083333
TLT,2017,761,50,633,457,0.701149425
TMC,2017,523,410,824,,0.9
TMP,2017,189,127,65,155,1.214814815
TMS,2017,405,213,105,126,0.787545788
TMT,2017,379,278,685,123,0.614492754
TMW,2017,60,700,746,,0.95049505
TMX,2017,243,582,882,153,0.772727273
TNA,2017,556,199,711,,0.655737705
TNB,2017,439,726,880,,0.757142857
TNC,2017,264,527,69,,1.06557377
TNG,2017,684,457,645,,1.04379562
TNM,2017,787,800,801,,1.15
TNT,2017,84,848,359,,1.028340081
TOP,2017,733,864,461,,0.631578947
TPC,2017,390,558,565,363,1.086956522
TPH,2017,212,554,328,291,0.890243902
TPP,2017,338,97,466,58,0.310344828
TPS,2017,282,71,119,248,0.442307692
TRA,2017,158,17,140,65,0.831234257
TRC,2017,242,629,118,182,0.96875
TRS,2017,696,359,579,482,1.035087719
TS4,2017,,663,719,453,
TSB,2017,271,364,510,393,0.745762712
TSC,2017,86,836,650,362,0.805755396
TST,2017,693,824,676,,0.903846154
TTB,2017,421,605,299,,2.028571429
TTC,2017,671,370,562,20,0.894736842
TTF,2017,,8,176,,
TTG,2017,77,459,574,44,0.55
TTH,2017,784,610,345,,0.462365591
TTP,2017,,,,,
TTR,2017,12,157,84,198,1.771428571
TTZ,2017,675,822,654,470,1.903225806
TV1,2017,361,295,368,443,1.170967742
TV2,2017,310,27,369,419,0.484304933
TV3,2017,317,160,435,347,0.857881137
TV4,2017,474,328,233,183,1.083333333
TVB,2017,727,381,90,,2.351351351
TVC,2017,288,299,19,,0.807142857
TVD,2017,186,647,814,45,0.9
TVG,2017,790,883,905,616,1.8
TVN,2017,611,522,587,,1.2875
TVS,2017,595,529,104,,1.494252874
TXM,2017,545,658,795,330,1.032258065
TYA,2017,623,511,630,147,1.107623318
UDC,2017,142,796,783,608,1.035294118
UDJ,2017,175,578,88,460,1.095890411
UEM,2017,492,588,747,592,3.789473684
UIC,2017,649,350,798,287,1.036184211
UNI,2017,36,763,160,,1.725
V12,2017,465,548,778,,0.936363636
V15,2017,,,,,
V21,2017,29,139,256,,1.278911565
VAF,2017,325,363,414,,0.764925373
VAT,2017,204,813,739,,0.742857143
VBC,2017,426,107,592,173,0.384285714
VBH,2017,,19,394,,
VC1,2017,280,633,637,,0.610526316
VC2,2017,479,473,658,,0.909090909
VC3,2017,345,51,182,199,0.456359102
VC5,2017,,,,,
VC6,2017,400,580,804,,0.873684211
VC7,2017,165,152,312,,0.74122807
VC9,2017,473,640,769,97,1.25
VCA,2017,682,550,788,454,1.472727273
VCC,2017,736,503,848,551,1
VCF,2017,343,115,217,249,1.058823529
VCG,2017,259,312,329,195,1.481012658
VCM,2017,558,391,425,,0.607594937
VCR,2017,315,809,7,532,1.230769231
VCS,2017,239,10,87,135,1.547337278
VCT,2017,743,634,790,,5.4
VCX,2017,778,678,818,560,0.791666667
VDL,2017,138,56,245,76,0.804664723
VDN,2017,544,256,776,348,0.338181818
VDS,2017,328,510,112,,1.627906977
VDT,2017,231,154,397,271,0.729537367
VE1,2017,,439,189,452,
VE2,2017,475,446,278,493,1.027027027
VE3,2017,702,490,552,292,0.973913043
VE4,2017,739,551,575,68,0.876033058
VE8,2017,550,385,646,399,0.853658537
VE9,2017,35,617,319,156,0.875
VFC,2017,51,499,546,28,0.834862385
VFG,2017,387,158,392,29,0.5078125
VFR,2017,,590,395,,
VGC,2017,424,304,398,357,1.583333333
VGG,2017,530,105,536,235,0.919047619
VGP,2017,103,220,39,53,0.778947368
VGS,2017,689,482,800,,0.838461538
VHC,2017,494,116,370,324,1.291512915
VHF,2017,4,194,481,,1.213872832
VHG,2017,,845,540,553,
VHL,2017,285,137,408,252,0.700775194
VIC,2017,101,24,154,55,2.803827751
VID,2017,641,780,211,,2.720930233
VIE,2017,,541,504,,
VIG,2017,,857,33,295,
VIN,2017,386,369,179,110,0.774193548
VIP,2017,663,725,335,449,0.97260274
VIR,2017,222,285,151,202,0.714285714
VIS,2017,215,161,563,,1.398373984
VIT,2017,495,111,445,380,0.478125
VIX,2017,535,649,125,85,1.333333333
VKC,2017,570,388,656,378,0.485507246
VKD,2017,69,412,331,,1.456692913
VLA,2017,491,472,222,428,0.943548387
VLC,2017,444,286,506,381,1.028735632
VLF,2017,,,,,
VLG,2017,574,653,901,297,0.861538462
VMA,2017,291,293,812,388,0.878571429
VMC,2017,134,231,640,557,1.393442623
VMD,2017,211,240,898,571,0.663636364
VMI,2017,752,731,572,,0.568627451
VMS,2017,16,559,465,256,1.032786885
VNA,2017,,833,893,574,
VNC,2017,238,93,322,116,1.102564103
VND,2017,294,315,86,,1.936666667
VNE,2017,26,471,267,61,0.774725275
VNF,2017,500,236,684,,0.758677686
VNG,2017,139,432,411,169,1.37962963
VNH,2017,,,,,
VNI,2017,,142,22,21,
VNL,2017,452,331,577,,0.76122449
VNM,2017,151,9,58,54,1.416608514
VNP,2017,765,255,499,552,1.26
VNR,2017,272,307,78,42,0.929133858
VNS,2017,677,302,492,431,0.548672566
VNT,2017,258,123,508,5,0.688888889
VNX,2017,792,880,903,611,2.625
VOS,2017,,835,777,465,
VPC,2017,,841,589,612,
VPH,2017,573,447,214,,0.827192982
VPK,2017,52,591,432,15,0.434090909
VPS,2017,657,238,374,239,0.834146341
VQC,2017,776,664,455,492,0.892307692
VRC,2017,27,242,42,356,1.145251397
VRG,2017,,721,11,16,
VSA,2017,602,427,551,51,0.8
VSC,2017,350,134,120,217,0.698961938
VSH,2017,312,334,29,138,1.110410095
VSI,2017,633,440,350,,1.34965035
VST,2017,,,785,554,
VT1,2017,,478,437,510,
VT8,2017,91,683,628,,1.923076923
VTA,2017,769,394,749,525,1.1
VTB,2017,263,416,621,212,1.037790698
VTC,2017,683,606,757,,1.130434783
VTH,2017,411,593,655,,1.171171171
VTI,2017,,,741,591,
VTJ,2017,454,405,770,491,0.614035088
VTL,2017,193,372,388,,2.681415929
VTO,2017,484,625,410,536,1.025210084
VTS,2017,102,687,511,514,1.217391304
VTV,2017,362,271,712,,0.805405405
VTX,2017,637,341,354,298,0.96
VXB,2017,455,547,667,189,1.13559322
WCS,2017,436,83,71,157,0.839673913
WSB,2017,569,186,291,434,0.916955017
WSS,2017,81,767,44,209,0.829268293
WTC,2017,766,,860,549,0.511627907
XPH,2017,1,714,146,102,0.933333333
YBC,2017,705,781,900,,9.285714286
